run_id,parent_run_id,status,model_name,model_version,config_path,config_sha256,seed,split,started_at,completed_at,duration_seconds,epochs_completed,best_epoch,global_step,smoke,train_dataset_sha256,validation_dataset_sha256,population_id,sample_count,input_length,horizon,schema_hash,schema_sha256,scaler_sha256,checkpoint_path,checkpoint_sha256,predictions_path,predictions_sha256,metrics_path,metrics_sha256,mae_deg_c,mse_deg_c2,rmse_deg_c,baseline_rmse_deg_c,notes
seq2seq_lstm_20260917_095946_ea1ca3,,completed,seq2seq_lstm,1.0.0,runs/seq2seq_lstm/seq2seq_lstm_20260917_095946_ea1ca3/resolved_config.yaml,523539b374d3d29e1a14627c5f79a8cfcdc505e90c8239cca79c3253eef04000,42,validation,2026-09-17T09:59:46.448924+00:00,2026-09-17T10:02:19.865213+00:00,153.416289,15,14,1920,False,f6fb110f7d662177e1c55d5b9c2ade103c38d64bb1432e46861acf177a88db97,fac7f994f7f54901ed4fef81b871f8e55c467c7f898a948a852cb44d733d0111,jena_validation_fac7f994f7f54901_in168_out72,10026,168,72,9ea0ebf884372c8b814fe303467f89ccb8a31e37a08a6073dc7d37d422a71bee,6cb02534808965d89fc409c2ad903a00174011b0ca7d154c79537f180b99ca30,53fcc23145092f67eed93b7ebfceca0223b133a72255990419de9874beaa466a,runs/seq2seq_lstm/seq2seq_lstm_20260917_095946_ea1ca3/best_checkpoint.pt,868a1e6e40da478b6994c25f2019ae980cdc6ced32408e53743bf6fac276c8bf,artifacts/predictions/seq2seq_lstm/seq2seq_lstm_20260917_095946_ea1ca3/validation/predictions.npz,f957ba2ab970e1ddeb5ad35e970e86a6c346ae0105e5fd6eb93a49268d36a638,artifacts/evaluation/seq2seq_lstm/seq2seq_lstm_20260917_095946_ea1ca3/validation/metrics.json,afa6dc52fbe644142890f06d1f4b301d672ac41cf14ddf63055ff72428044a58,2.6175076046982473,11.53065195502894,3.395681368301352,5.243047452386046,real Jena validation; no test metrics used
seq2seq_attention_20260917_100234_95dc80,,completed,seq2seq_attention,1.0.0,runs/seq2seq_attention/seq2seq_attention_20260917_100234_95dc80/resolved_config.yaml,1c81811afcf657a6c215fbfa889539c40d9dc017cb77ce57c481b1bea41a084f,42,validation,2026-09-17T10:02:34.101558+00:00,2026-09-17T10:10:55.371460+00:00,501.269902,8,3,1024,False,f6fb110f7d662177e1c55d5b9c2ade103c38d64bb1432e46861acf177a88db97,fac7f994f7f54901ed4fef81b871f8e55c467c7f898a948a852cb44d733d0111,jena_validation_fac7f994f7f54901_in168_out72,10026,168,72,9ea0ebf884372c8b814fe303467f89ccb8a31e37a08a6073dc7d37d422a71bee,6cb02534808965d89fc409c2ad903a00174011b0ca7d154c79537f180b99ca30,53fcc23145092f67eed93b7ebfceca0223b133a72255990419de9874beaa466a,runs/seq2seq_attention/seq2seq_attention_20260917_100234_95dc80/best_checkpoint.pt,b133db2b110f3b8b86e02bcb3ebd5cd731c42cdf0c6ca140d8c35c9dad51eb99,artifacts/predictions/seq2seq_attention/seq2seq_attention_20260917_100234_95dc80/validation/predictions.npz,5063955efc4070c64b0d46992e15fc04f78fa399a73e512753bc0b0299f212b3,artifacts/evaluation/seq2seq_attention/seq2seq_attention_20260917_100234_95dc80/validation/metrics.json,7c59b29528c96db3de26f21fbfa5705d976e399d93eb3cb064088d28536c21d7,2.6202413464454546,11.487950212245545,3.389387881645526,5.243047452386046,real Jena validation; no test metrics used
transformer_20260917_101108_81bf1d,,completed,transformer,1.0.0,runs/transformer/transformer_20260917_101108_81bf1d/resolved_config.yaml,4fde535d8911bffc4646291f89e25b55021fa3b22ff6772ac69403904fa34886,42,validation,2026-09-17T10:11:08.282374+00:00,2026-09-17T10:25:15.138642+00:00,846.856268,10,6,1280,False,f6fb110f7d662177e1c55d5b9c2ade103c38d64bb1432e46861acf177a88db97,fac7f994f7f54901ed4fef81b871f8e55c467c7f898a948a852cb44d733d0111,jena_validation_fac7f994f7f54901_in168_out72,10026,168,72,9ea0ebf884372c8b814fe303467f89ccb8a31e37a08a6073dc7d37d422a71bee,6cb02534808965d89fc409c2ad903a00174011b0ca7d154c79537f180b99ca30,53fcc23145092f67eed93b7ebfceca0223b133a72255990419de9874beaa466a,runs/transformer/transformer_20260917_101108_81bf1d/best_checkpoint.pt,78f1d1d7b03925949865a7670a0f1bc89deadf2497d38c721ade19c06e990019,artifacts/predictions/transformer/transformer_20260917_101108_81bf1d/validation/predictions.npz,002ab79ef21d0e8fac7debbd9a7f075baa3c22e1a866b8cb3bb5edc6ece9890b,artifacts/evaluation/transformer/transformer_20260917_101108_81bf1d/validation/metrics.json,42da17a6625bf193b63349b33cea64554b4929419b7084bd269f7bd66425b0e7,3.5938244069511556,22.563721890191573,4.750128618278833,5.243047452386046,real Jena validation; no test metrics used
